full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
eyaltoledano/claude-task-master,25090,25090,2406,9,9,0,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,26971,26971,2966,58,58,5,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3374,3374,241,3,3,0,https://github.com/Pimzino/claude-code-spec-workflow
https-deeplearning-ai/sc-claude-code-files,378,378,516,1,1,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-security-review,2893,2893,218,2,2,1,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1042,1042,218,5,5,0,https://github.com/edmund-io/edmunds-claude-code
github/spec-kit,65410,65410,5657,139,139,14,https://github.com/github/spec-kit
siteboon/claudecodeui,5733,5733,745,13,13,0,https://github.com/siteboon/claudecodeui
ghuntley/claude-code-source-code-deobfuscation,814,814,405,0,0,2,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sugyan/claude-code-webui,869,869,199,1,1,0,https://github.com/sugyan/claude-code-webui
feiskyer/claude-code-settings,1147,1147,172,0,0,0,https://github.com/feiskyer/claude-code-settings
lst97/claude-code-sub-agents,1361,1361,222,2,2,1,https://github.com/lst97/claude-code-sub-agents
router-for-me/CLIProxyAPI,8273,8273,1284,47,47,6,https://github.com/router-for-me/CLIProxyAPI
nishimoto265/Claude-Code-Communication,481,481,236,3,3,0,https://github.com/nishimoto265/Claude-Code-Communication
ComposioHQ/awesome-claude-skills,26504,26504,2586,264,264,25,https://github.com/ComposioHQ/awesome-claude-skills
rizethereum/claude-code-requirements-builder,1736,1736,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
centminmod/my-claude-code-setup,1754,1754,172,5,5,1,https://github.com/centminmod/my-claude-code-setup
21st-dev/1code,4468,4468,423,41,41,7,https://github.com/21st-dev/1code
andrepimenta/claude-code-chat,981,981,145,0,0,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,497,497,46,3,3,0,https://github.com/darcyegb/ClaudeCodeAgents
EveryInc/compound-engineering-plugin,6425,6425,519,37,37,8,https://github.com/EveryInc/compound-engineering-plugin
ykdojo/claude-code-tips,1637,1637,104,12,12,0,https://github.com/ykdojo/claude-code-tips
winfunc/opcode,20221,20221,1567,11,11,-2,https://github.com/winfunc/opcode
snarktank/ralph,8008,8008,942,131,131,8,https://github.com/snarktank/ralph
EnzeD/vibe-coding,3801,3801,1209,6,6,0,https://github.com/EnzeD/vibe-coding
Njengah/claude-code-cheat-sheet,1227,1227,150,2,2,-1,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1027,1027,120,3,3,0,https://github.com/steipete/claude-code-mcp
peterkrueck/Claude-Code-Development-Kit,1293,1293,147,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
zed-industries/claude-code-acp,805,805,123,4,4,0,https://github.com/zed-industries/claude-code-acp
revfactory/claude-code-mastering,746,746,120,0,0,1,https://github.com/revfactory/claude-code-mastering
catlog22/Claude-Code-Workflow,1173,1173,97,5,5,0,https://github.com/catlog22/Claude-Code-Workflow
DmitrySolana/ralph-claude-code,1155,1155,97,-1,-1,0,https://github.com/DmitrySolana/ralph-claude-code
JessyTsui/Claude-Code-Remote,977,977,107,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
disler/claude-code-hooks-multi-agent-observability,928,928,287,1,1,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
wasabeef/claude-code-cookbook,985,985,107,2,2,1,https://github.com/wasabeef/claude-code-cookbook
slopus/happy,9313,9313,691,71,71,5,https://github.com/slopus/happy
0xfurai/claude-code-subagents,660,660,125,3,3,1,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,883,883,102,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1246,1246,84,16,16,0,https://github.com/pchalasani/claude-code-tools
anthropics/claude-agent-sdk-python,4362,4362,575,6,6,1,https://github.com/anthropics/claude-agent-sdk-python
obra/superpowers,37333,37333,2861,528,528,53,https://github.com/obra/superpowers
kepano/obsidian-skills,8306,8306,435,37,37,3,https://github.com/kepano/obsidian-skills
opactorai/Claudable,3704,3704,559,4,4,0,https://github.com/opactorai/Claudable
kn1026/cc,703,703,268,0,0,0,https://github.com/kn1026/cc
simonw/claude-code-transcripts,854,854,89,2,2,0,https://github.com/simonw/claude-code-transcripts
upstash/context7,43692,43692,2098,66,66,1,https://github.com/upstash/context7
bfly123/claude_code_bridge,913,913,87,6,6,0,https://github.com/bfly123/claude_code_bridge
anthropics/claude-plugins-official,4993,4993,528,30,30,1,https://github.com/anthropics/claude-plugins-official
ericbuess/claude-code-docs,640,640,96,0,0,0,https://github.com/ericbuess/claude-code-docs
superdesigndev/superdesign,5806,5806,669,3,3,0,https://github.com/superdesigndev/superdesign
jeremylongshore/claude-code-plugins-plus-skills,1088,1088,138,5,5,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
anthropics/claude-agent-sdk-demos,1267,1267,203,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
d-kimuson/claude-code-viewer,822,822,82,0,0,1,https://github.com/d-kimuson/claude-code-viewer
zsio/claude-code-hub,151,151,171,-1,-1,0,https://github.com/zsio/claude-code-hub
alirezarezvani/claude-code-tresor,457,457,108,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
numman-ali/openskills,7181,7181,479,43,43,2,https://github.com/numman-ali/openskills
zhukunpenglinyutong/idea-claude-code-gui,867,867,102,11,11,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
lyconear/Claude-Code,4,4,144,0,0,0,https://github.com/lyconear/Claude-Code
browser-use/browser-use,77181,77181,9158,40,40,4,https://github.com/browser-use/browser-use
greggh/claude-code.nvim,1761,1761,56,1,1,0,https://github.com/greggh/claude-code.nvim
severity1/claude-code-prompt-improver,1090,1090,96,3,3,0,https://github.com/severity1/claude-code-prompt-improver
BloopAI/vibe-kanban,19278,19278,1795,93,93,11,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,89226,89226,8172,587,587,78,https://github.com/anomalyco/opencode
manzaltu/claude-code-ide.el,1301,1301,73,1,1,2,https://github.com/manzaltu/claude-code-ide.el
Matt-Dionis/claude-code-configs,611,611,79,1,1,0,https://github.com/Matt-Dionis/claude-code-configs
coleam00/context-engineering-intro,12281,12281,2578,2,2,0,https://github.com/coleam00/context-engineering-intro
alirezarezvani/claude-skills,1399,1399,160,13,13,3,https://github.com/alirezarezvani/claude-skills
code-yeongyu/oh-my-opencode,24663,24663,1783,242,242,17,https://github.com/code-yeongyu/oh-my-opencode
MadAppGang/claude-code,216,216,19,1,1,0,https://github.com/MadAppGang/claude-code
carlvellotti/claude-code-pm-course,397,397,101,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
OthmanAdi/planning-with-files,11503,11503,1055,58,58,8,https://github.com/OthmanAdi/planning-with-files
UfoMiao/zcf,5334,5334,376,3,3,-1,https://github.com/UfoMiao/zcf
hesreallyhim/a-list-of-claude-code-agents,1152,1152,111,0,0,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
timothywarner-org/claude-code,193,193,19,0,0,0,https://github.com/timothywarner-org/claude-code
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
daaain/claude-code-log,660,660,57,2,2,0,https://github.com/daaain/claude-code-log
Dicklesworthstone/claude_code_agent_farm,635,635,76,0,0,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
